BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00003	360	TZ MINUS 5 E NORTH	01	FP	G		N35502097	35.839158	E063061598	63.104439	N35122298	35.206383	E062161798	62.271661													200107
FP00003	370	TZ MINUS 5 E NORTH	01	FP	G		N35122298	35.206383	E062161798	62.271661	N35404097	35.678047	E061134395	61.228875													200107
FP00003	380	TZ MINUS 5 E NORTH	01	FP	G		N35404097	35.678047	E061134395	61.228875	N36390297	36.650825	E061090097	61.150269													200107
FP00003	390	TZ MINUS 5 E NORTH	01	FP	G		N36390297	36.650825	E061090097	61.150269	N37315497	37.531936	E059204997	59.347214													200107
FP00003	400	TZ MINUS 5 E NORTH	01	FP	G		N37315497	37.531936	E059204997	59.347214	N37582895	37.974708	E057224395	57.378875													200107
FP00003	410	TZ MINUS 5 E NORTH	01	FP	G		N37582895	37.974708	E057224395	57.378875	N38041634	38.071206	E056131093	56.219703													200107
FP00003	420	TZ MINUS 5 E NORTH	01	FP	G		N38041634	38.071206	E056131093	56.219703	N37385297	37.648047	E054465596	54.782211													200107
FP00003	430	TZ MINUS 5 E NORTH	01	FP	G		N37385297	37.648047	E054465596	54.782211	N37131195	37.219986	E053563697	53.943603													200107
FP00003	440	TZ MINUS 5 E NORTH	01	FP	G		N37131195	37.219986	E053563697	53.943603	N40120298	40.200828	E052441098	52.736383													200107
FP00003	450	TZ MINUS 5 E NORTH	01	FP	G		N40120298	40.200828	E052441098	52.736383	N43094697	43.163047	E051251897	51.421936													200107
FP00003	460	TZ MINUS 5 E NORTH	01	FP	G		N43094697	43.163047	E051251897	51.421936	N44343499	44.576386	E050142196	50.239433													200107
FP00003	470	TZ MINUS 5 E NORTH	01	FP	G		N44343499	44.576386	E050142196	50.239433	N45200298	45.334161	E051284395	51.478875													200107
FP00003	480	TZ MINUS 5 E NORTH	01	FP	G		N45200298	45.334161	E051284395	51.478875	N45175499	45.298608	E053063199	53.108886													200107
FP00003	490	TZ MINUS 5 E NORTH	01	FP	G		N45175499	45.298608	E053063199	53.108886	N46053895	46.094153	E053064499	53.112497													200107
FP00003	500	TZ MINUS 5 E NORTH	01	FP	G		N46053895	46.094153	E053064499	53.112497	N46503198	46.842217	E053051695	53.088042													200107
FP00003	510	TZ MINUS 5 E NORTH	01	FP	G		N46503198	46.842217	E053051695	53.088042	N46594596	46.996100	E051410195	51.683875													200107
FP00003	520	TZ MINUS 5 E NORTH	01	FP	G		N46594596	46.996100	E051410195	51.683875	N46521997	46.872214	E050311798	50.521661													200107
FP00003	530	TZ MINUS 5 E NORTH	01	FP	G		N46521997	46.872214	E050311798	50.521661	N46221097	46.369714	E049102996	49.174989													200107
FP00003	540	TZ MINUS 5 E NORTH	01	FP	G		N46221097	46.369714	E049102996	49.174989	N47452700	47.757500	E048074195	48.128319													200107
FP00003	550	TZ MINUS 5 E NORTH	01	FP	G		N47452700	47.757500	E048074195	48.128319	N47564593	47.946092	E047071193	47.119981													200107
FP00003	560	TZ MINUS 5 E NORTH	01	FP	G		N47564593	47.946092	E047071193	47.119981	N48225197	48.381103	E046393497	46.659714													200107
FP00003	570	TZ MINUS 5 E NORTH	01	FP	G		N48225197	48.381103	E046393497	46.659714	N49113096	49.191933	E047033896	47.060822													200107
FP00003	580	TZ MINUS 5 E NORTH	01	FP	G		N49113096	49.191933	E047033896	47.060822	N49540297	49.900825	E047003299	47.009164													200107
FP00003	590	TZ MINUS 5 E NORTH	01	FP	G		N49540297	49.900825	E047003299	47.009164	N50223096	50.375267	E047453897	47.760825													200107
FP00003	600	TZ MINUS 5 E NORTH	01	FP	G		N50223096	50.375267	E047453897	47.760825	N49531197	49.886658	E048365597	48.615547													200107
FP00003	610	TZ MINUS 5 E NORTH	01	FP	G		N49531197	49.886658	E048365597	48.615547	N50353096	50.591933	E048415095	48.697486													200107
FP00003	620	TZ MINUS 5 E NORTH	01	FP	G		N50353096	50.591933	E048415095	48.697486	N51062999	51.108331	E049350498	49.584717													200107
FP00003	630	TZ MINUS 5 E NORTH	01	FP	G		N51062999	51.108331	E049350498	49.584717	N51382397	51.639992	E050360999	50.602775													200107
FP00003	640	TZ MINUS 5 E NORTH	01	FP	G		N51382397	51.639992	E050360999	50.602775	N57594532	57.995922	E054014336	54.028711													200107
FP00003	650	TZ MINUS 5 E NORTH	01	FP	G		N57594532	57.995922	E054014336	54.028711	N60005485	60.015236	E052303482	52.509672													200107
FP00003	660	TZ MINUS 5 E NORTH	01	FP	G		N60005485	60.015236	E052303482	52.509672	N67305594	67.515539	E065304473	65.512425													200107
FP00003	670	TZ MINUS 5 E NORTH	01	FP	G		N67305594	67.515539	E065304473	65.512425	N69281695	69.471375	E064272696	64.457489													200107
