PJA_IDENT	SEG_NBR	NAME	ICAO_REGION	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	TYPE	RADIUS1	RADIUS2	BEARING1	BEARING2	DISTANCE1	DISTANCE2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FR00203	00010	203-VITTEL AUZAINVILLIERS	LF	C										N48140000	48.233333	E005510000	5.850000	4	1.60										199810
FR00205	00010	205-GRAVELOTTE	LF	A										N49060000	49.100000	E006033000	6.058333	4	0.10										199810
FR00206	00010	206-CERCOTTES	LF	A										N47580000	47.966667	E001550000	1.916667	4	0.10										199810
FR00207	00010	207-ORLEANS BRICY	LF	A										N47591600	47.987778	E001453800	1.760556	4	0.10										199810
FR00208	00010	208-FRETOY LE CHATEAU	LF	A										N49400000	49.666667	E002580000	2.966667	4	0.10										200406
FR00209	00010	209-DIJON LONGVIC	LF	A										N47155700	47.265833	E005054200	5.095000	4	0.10										199810
FR00211	00010	211-ROUEN VALLEE DE SEINE	LF	A										N49232000	49.388889	E001105200	1.181111	4	0.10										199810
FR00212	00010	212-COLMAR SOUTH	LF	A										N48023000	48.041667	E007233000	7.391667	4	0.10										199912
FR00213	00010	213-ST ANDRE DE L EURE	LF	A										N48535500	48.898611	E001150200	1.250556	4	0.10										199810
FR00215	00010	215-BESANCON LA VEZE	LF	A										N47121900	47.205278	E006045000	6.080556	4	0.10										199810
FR00216	00010	216-NANCY AZELOT	LF	A										N48353400	48.592778	E006142800	6.241111	4	0.10										199810
FR00217	00010	217-REIMS CHAMPAGNE	LF	A										N49183700	49.310278	E004030300	4.050833	4	0.10										199810
FR00218	00010	219(1)-DIEUZE GUEBLANGE	LF	A										N48463100	48.775278	E006425500	6.715278	4	0.10										199810
FR00219	00010	219(2)-DIEUZE GUEBLANGE	LF	A										N48481000	48.802778	E006424000	6.711111	4	0.10										200104
FR00219	00020	219(2)-DIEUZE GUEBLANGE	LF	A										N48481000	48.802778	E006424000	6.711111	4	0.10										199912
FR00221	00010	221-COLMAR HOUSSEN	LF	A										N48063700	48.110278	E007213300	7.359167	4	0.10										199810
FR00222	00010	222-STRASBOURG NEUHOF	LF	A										N48331600	48.554444	E007464100	7.778056	4	0.10										199810
FR00224	00010	224-ROMILLY SUR SEINE	LF	A										N48300200	48.500556	E003454800	3.763333	4	0.10										199810
FR00225	00010	225-ETANG DU STOCK	LF	A										N48450000	48.750000	E006560000	6.933333	4	0.10										199810
FR00226	00010	226-PERONNE ST QUENTIN	LF	A										N49520800	49.868889	E003014700	3.029722	4	0.10										199810
FR00227	00010	227-CALAIS DUNKERQUE	LF	A										N50573900	50.960833	E001570500	1.951389	4	0.10										199810
FR00228	00010	228-CHARLEVILLE MEZIERES	LF	A										N49470600	49.785000	E004383400	4.642778	4	0.10										199810
FR00232	00010	232-VESOUL FROTEY	LF	A										N47382200	47.639444	E006121900	6.205278	4	0.10										199810
FR00233	00010	233-CHATEAU THIERRY	LF	A										N49040200	49.067222	E003212500	3.356944	4	0.10										199810
FR00236	00010	236-DIEPPE SAINT AUBIN	LF	A										N49525700	49.882500	E001050700	1.085278	4	0.10										199810
FR00238	00010	238-LE HAVRE OCTEVILLE	LF	A										N49320200	49.533889	E000051700	0.088056	4	0.10										199810
