ARPT_IDENT	PROC	TRM_IDENT	RWY_ID	OCC_NO	ICAO	DESIG	KNOTS	RATE_DESC	ALT	FTNOTE	CYCLE_DATE
AR51177	3	D06    N4 VORDME LO LI RW06	06	10	SASA	1	60	00310	06000	CONTROLLING OBSTACLE 4954.	200202
AR58399	2	DORVO6 DORVO 6 RW13/31	13	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	DORVO6 DORVO 6 RW13/31	31	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	EZEZA6 EZEIZA 6 RW13/31	13	10	SABE	2	60	00280	01000	to 1000.	200402
AR58399	2	EZEZA6 EZEIZA 6 RW13/31	31	10	SABE	2	60	00280	01000	to 1000.	200402
AR58399	2	KUKEN6 KUKEN 6 RW13/31	13	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	KUKEN6 KUKEN 6 RW13/31	31	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	LAPAT6 LA PLATA 6	13	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	LAPAT6 LA PLATA 6	31	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	SURBO6 SURBO 6 RW13/31	13	10	SABE	2	60	00280	01000	to 1000.	200313
AR58399	2	SURBO6 SURBO 6 RW13/31	31	10	SABE	2	60	00280	01000	to 1000.	200313
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	11	10	SAEZ	2	60	00310	01000		200313
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	17	10	SAEZ	2	60	00310	01000		200313
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	29	10	SAEZ	2	60	00310	01000		200313
AR80200	2	ATOV2A ATOVO2A RW11/29-17/35	35	10	SAEZ	2	60	00310	01000		200313
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	11	10	SAEZ	2	60	00310	01000		200313
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	17	10	SAEZ	2	60	00310	01000		200313
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	29	10	SAEZ	2	60	00310	01000		200313
AR80200	2	BIVA2A BIVAM2A RW11/29-17/35	35	10	SAEZ	2	60	00310	01000		200313
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	11	10	SAEZ	2	60	00310	01000		200313
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	17	10	SAEZ	2	60	00310	01000		200313
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	29	10	SAEZ	2	60	00310	01000		200313
AR80200	2	EGEPA6 EGEPA6  RW11/29-17/35	35	10	SAEZ	2	60	00310	01000		200313
AR80200	2	GBE6   BELGRANO 6	11	10	SAEZ	2	60	00310	01000	to 1000.	200505
AR80200	2	GBE6   BELGRANO 6	17	10	SAEZ	2	60	00310	01000	to 1000.	200505
AR80200	2	GBE6   BELGRANO 6	29	10	SAEZ	2	60	00310	01000	to 1000.	200505
AR80200	2	GBE6   BELGRANO 6	35	10	SAEZ	2	60	00310	01000	to 1000.	200505
AR80200	2	LAND2A LANDA2A RW11/29-17/35	11	10	SAEZ	2	60	00310	01000		200313
AR80200	2	LAND2A LANDA2A RW11/29-17/35	17	10	SAEZ	2	60	00310	01000		200313
AR80200	2	LAND2A LANDA2A RW11/29-17/35	29	10	SAEZ	2	60	00310	01000		200313
AR80200	2	LAND2A LANDA2A RW11/29-17/35	35	10	SAEZ	2	60	00310	01000		200313
AR80200	2	PTA6A  LA PLATA 6A	17	10	SAEZ	2	60	00310	01000	to 1000.	200405
AR80200	2	PTA6A  LA PLATA 6A	29	10	SAEZ	2	60	00310	01000	to 1000.	200405
AR80200	2	PTA6A  LA PLATA 6A	35	10	SAEZ	2	60	00310	01000	to 1000.	200505
AR80200	2	PTA6B  LA PLATA 6B	11	10	SAEZ	2	60	00310	01000	to 1000.	200405
AS10286	2	SWIFT3	15	10	YBCS	1	60	00430	02000		200009
AS10286	2	SWIFT3	33	10	YBCS	2	60	00280	02000		200009
AS10286	3	I15    ILS RW15	15	10	YBCS	1	60	00335	02500	+CAUTION: Controlling obstacle 2193.	200604
AS10286	3	I15-D  ILS/DME RW15	15	10	YBCS	1	60	00335	02500	+CAUTION: Controlling obstacle 2193.	200604
AS10286	3	L15    LLZ/DME RW15	15	10	YBCS	1	60	00335	02500	+CAUTION: Controlling obstacle 2193.	200604
AS15072	2	RW01S  RW01 SOUTH	01	10	YBBN	2	60	00210	01500		200411
AS15072	2	RW19S  RW19 SOUTH	19	10	YBBN	2	60	00210	01500		200411
AS49651	2	R0119W RW01/19 WEST	01	10	YBTL	2	60	00270	01100	ATC Climb rate to 1100	200402
AS49651	2	RW01	01	10	YBTL	2	60	00270	01100	ATC Climb rate to 1100	200402
AS49651	2	RW01N  RW01 NORTH	01	10	YBTL	2	60	00270	01100		200402
AS49651	2	RW01SE RW01 SOUTHEAST	01	10	YBTL	2	60	00270	01100		200402
AS49651	2	RW119N RW01/19 NORTH	01	10	YBTL	2	60	00270	01100		200404
AS49651	2	RW19N  RW19 NORTH	01	10	YBTL	2	60	00270	01100		200402
AS49651	2	RW19SE RW19 SOUTHEAST	01	10	YBTL	2	60	00270	01100		200402
AS50510	2	RW121  RW12 SOUTH EAST	12	10	YBAS	2	60	00210	02200	ATC Climb Rate.	200208
AS50510	2	RW301  RW30 SOUTH EAST	12	10	YBAS	2	60	00210	03600	ATC Climb Rate.	200208
AS64221	2	BEEFA1	16	10	YMML	1	60	00235	01500		200503
AS64221	2	CRENA2	16	10	YMML	1	60	00235	01500		200501
AS64221	2	KEPPA1	16	10	YMML	1	60	00235	01500		200003
AS64221	2	OWENS5	16	10	YMML	1	60	00235	01500		200003
AS64221	2	YWE5   YARROWEE 5	16	10	YMML	1	60	00235	01500		200501
AS82556	2	HEWIT1	30	10	YMHB	2	60	00220	05500	ATC Minimum Climb Rate to 5500.	200208
AS82556	2	PECOB1	30	10	YMHB	2	60	00220	05500	ATC Minimum Climb Rate to 5500.	200208
AS86864	2	RW05N  RW05 NORTH	05	10	YPEA	2	60	00810	01200		200405
AS86864	2	RW05N  RW05 NORTH	05	20	YPEA	2	60	00460	05000	NOVEMBER TWO, To 5000.	200405
AS86864	2	RW05W  RW05 WEST	05	10	YPEA	2	60	00810	01200		200405
AS86864	2	RW05W  RW05 WEST	05	20	YPEA	2	60	00460	05000	NOVEMBER TWO, To 5000.	200405
AS86864	2	RW18L  RW18L WEST	18L	10	YPEA	2	60	00290	00600		200404
AS86864	2	RW18L  RW18L WEST	18L	20	YPEA	2	60	00350	05000	NOVEMBER TWO, To 5000.	200404
AS86864	2	RW18L1 RW18L WEST(NOVEMBER)	18L	10	YPEA	2	60	00290	00600		200009
AS86864	2	RW18L1 RW18L WEST(NOVEMBER)	18L	20	YPEA	2	60	00350	05000	NOVEMBER TWO, To 5000.	200009
AS86864	2	RW18L2 RW18L WEST(WHISKEY)	18L	10	YPEA	2	60	00290	00600		200009
AS86864	2	RW23N  RW23 NORTH	23	10	YPEA	2	60	00262	00800		200405
AS86864	2	RW23W  RW23 WEST	23	10	YPEA	2	60	00262	00800		200405
AS86864	2	RW36RN RW36R NORTH	36R	10	YPEA	2	60	00455	00700		200405
AS86864	2	RW36RN RW36R NORTH	36R	20	YPEA	2	60	00450	05000	To 5000, NOVEMBER ONE.	200405
AS86864	2	RW36RW RW36R WEST	36R	10	YPEA	2	60	00455	00700		200405
AS86864	3	T18L-B TACAN B RW18L	18L	10	YPEA	1	60	00212	01500	Controlling Obstacle 850.	200410
AS86864	3	T18L-C TACAN C RW18L	18L	10	YPEA	1	60	00212	01500	Controlling Obstacle 850.	200410
AS98836	2	CULIN2 CULIN 2  NORTH (JET)	17	10	YSCB	1	60	00250	03200		200606
AS98836	2	CULIN2 CULIN 2  NORTH (JET)	35	10	YSCB	1	60	00410	03400		200606
AS98836	2	TANTA2 TANTA 2 SOUTH (RNAV)	17	10	YSCB	1	60	00250	03200		200606
AS98836	2	TANTA2 TANTA 2 SOUTH (RNAV)	35	10	YSCB	1	60	00410	03400		200606
AS98836	2	WAGGA2 WAGGA 2 WEST (RNAV)	17	10	YSCB	1	60	00250	03200		200606
AS98836	2	WAGGA2 WAGGA 2 WEST (RNAV)	35	10	YSCB	1	60	00410	03400		200606
AS98836	2	YASS2  YASS 2  NORTH (JET)	17	10	YSCB	1	60	00250	03200		200606
AS98836	2	YASS2  YASS 2  NORTH (JET)	35	10	YSCB	1	60	00410	03400		200606
AU76587	2	ADL1L  ADLET 1L	27	10	LOWL	2	60	00400	02000		200303
AU76587	2	ADL1L  ADLET 1L	27	20	LOWL	2	60	00205	08000	Climb rate 2000 to 8000	200303
AU76587	2	GAM2T  GAMLI2T	09	10	LOWL	2	60	00280	08000		200303
AU76587	2	GRZ2L	27	10	LOWL	2	60	00400	02000		200108
AU76587	2	GRZ2L	27	20	LOWL	2	60	00205	08000	Climb rate 2000 to 8000	200108
AU76587	2	GRZ2T	09	10	LOWL	2	60	00220	08000		200104
AU76587	2	PAB1T  PABSA1T	09	10	LOWL	2	60	00210	06000		200104
AU76587	2	PAB2L  PABSA2L	27	10	LOWL	2	60	00400	02000		200108
AU76587	2	PAB2L  PABSA2L	27	20	LOWL	2	60	00205	06000	From 2000 to FL60.	200108
AU76587	2	SBG2L	27	10	LOWL	2	60	00400	02000		200108
AU76587	2	SBG2L	27	20	LOWL	2	60	00205	06000	From 2000 to FL60.	200108
AU76587	2	SBG2T	09	10	LOWL	2	60	00205	06000		200011
AU76587	2	STO1L	27	10	LOWL	2	60	00400	02000		200011
AU76587	2	STO1L	27	20	LOWL	2	60	00205	08000	Climb rate 2000 to 8000	200011
AU76587	2	STO1T	09	10	LOWL	2	60	00280	06000		200011
AU76587	2	SUB1L  SUBEN1L	27	10	LOWL	2	60	00400	02000		200108
AU76587	2	SUB1L  SUBEN1L	27	20	LOWL	2	60	00205	06000	From 2000 to FL60.	200108
AU76587	2	SUB1T  SUBEN1T	09	10	LOWL	2	60	00210	05000		200104
BE42791	3	I23L   ILS  RW23L	23L	10	EBLG	2	60	00220	03000		200504
BE42791	3	I23R   ILS RW23R	23R	10	EBLG	2	60	00220	03000		200604
BE44819	2	BE0204	04L	10	EBBE	2	60	00440	04000		200212
BE44819	2	BE0204	22R	10	EBBE	2	60	00500	06000		200212
BE62806	2	BL01	05L	10	EBBL	2	60	00460	06000		200512
BE62806	2	BL02	23R	10	EBBL	2	60	00375	04500		200511
BE62806	2	BL02	23R	20	EBBL	2	60	00500	06000	4500 to FL60.	200511
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	05L	10	EBBL	2	60	00320	02500	BL 03 to 2500	200605
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	05L	20	EBBL	2	60	00550	05000	BL 03 2500 to 5000	200605
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	05L	30	EBBL	2	60	00380	08000	BL 03 5000 to FL80.	200605
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	23R	10	EBBL	2	60	00380	05000	BL 04 to 5000.	200605
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	23R	20	EBBL	2	60	00425	08000	BL 04 5000 to FL80.	200605
BE62806	3	I23R   ILS/DME RW23R	23R	10	EBBL	1	60	00320	03000		200512
BE62806	3	T23R   TACAN RW23R	23R	10	EBBL	1	60	00320	03000		200512
BE68546	2	CIV1X	07	10	EBCI	1	60	00250	03000		200504
BE68546	2	CIV1Y	25	10	EBCI	1	60	00250	03000		200504
BE68546	2	LNO2X	07	10	EBCI	1	60	00250	03000		200605
BE68546	2	LNO2Y	25	10	EBCI	1	60	00250	03000		200605
BE68546	2	RIT2X  RITAX 2X	07	10	EBCI	1	60	00250	03000		200605
BE68546	2	RIT2Y  RITAX 2Y	25	10	EBCI	1	60	00250	03000		200605
BE68546	2	SOP2X  SOPOK 2X	07	10	EBCI	1	60	00250	03000		200605
BE68546	2	SOP2Y  SOPOK 2Y	25	10	EBCI	1	60	00250	03000		200605
BE68546	2	SPI2X	07	10	EBCI	1	60	00250	03000		200605
BE68546	2	SPI2Y	25	10	EBCI	1	60	00250	03000		200605
BE93570	2	CIV1C	25L	10	EBBR	1	60	00430	03200	Minimum Climb Rate does not ensure ATC crossing restrictions.	200604
BE93570	2	CIV1C	25R	10	EBBR	1	60	00430	03200	Minimum Climb Rate does not ensure ATC crossing restrictions.	200604
