ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056507	07000	N23000000	23.000000	E042000000	42.000000	N23000000	23.000000	E043000000	43.000000	N22000000	22.000000	E042000000	42.000000	N22000000	22.000000	E043000000	43.000000	199907	0565007
056508	07600	N23000000	23.000000	E043000000	43.000000	N23000000	23.000000	E044000000	44.000000	N22000000	22.000000	E043000000	43.000000	N22000000	22.000000	E044000000	44.000000	199907	0565008
056509	08500	N23000000	23.000000	E044000000	44.000000	N23000000	23.000000	E045000000	45.000000	N22000000	22.000000	E044000000	44.000000	N22000000	22.000000	E045000000	45.000000	199907	0565009
056510	07000	N23000000	23.000000	E045000000	45.000000	N23000000	23.000000	E046000000	46.000000	N22000000	22.000000	E045000000	45.000000	N22000000	22.000000	E046000000	46.000000	199907	0565010
056511	07100	N23000000	23.000000	E046000000	46.000000	N23000000	23.000000	E047000000	47.000000	N22000000	22.000000	E046000000	46.000000	N22000000	22.000000	E047000000	47.000000	199907	0565011
056512	05600	N23000000	23.000000	E047000000	47.000000	N23000000	23.000000	E048000000	48.000000	N22000000	22.000000	E047000000	47.000000	N22000000	22.000000	E048000000	48.000000	199907	0565012
056513	08900	N22000000	22.000000	E042000000	42.000000	N22000000	22.000000	E043000000	43.000000	N21000000	21.000000	E042000000	42.000000	N21000000	21.000000	E043000000	43.000000	199907	0565013
056514	08000	N22000000	22.000000	E043000000	43.000000	N22000000	22.000000	E044000000	44.000000	N21000000	21.000000	E043000000	43.000000	N21000000	21.000000	E044000000	44.000000	199907	0565014
056515	07900	N22000000	22.000000	E044000000	44.000000	N22000000	22.000000	E045000000	45.000000	N21000000	21.000000	E044000000	44.000000	N21000000	21.000000	E045000000	45.000000	199907	0565015
056516	06900	N22000000	22.000000	E045000000	45.000000	N22000000	22.000000	E046000000	46.000000	N21000000	21.000000	E045000000	45.000000	N21000000	21.000000	E046000000	46.000000	199907	0565016
056517	06300	N22000000	22.000000	E046000000	46.000000	N22000000	22.000000	E047000000	47.000000	N21000000	21.000000	E046000000	46.000000	N21000000	21.000000	E047000000	47.000000	199907	0565017
056518	05100	N22000000	22.000000	E047000000	47.000000	N22000000	22.000000	E048000000	48.000000	N21000000	21.000000	E047000000	47.000000	N21000000	21.000000	E048000000	48.000000	199907	0565018
056519	09200	N21000000	21.000000	E042000000	42.000000	N21000000	21.000000	E043000000	43.000000	N20000000	20.000000	E042000000	42.000000	N20000000	20.000000	E043000000	43.000000	199907	0565019
056520	07900	N21000000	21.000000	E043000000	43.000000	N21000000	21.000000	E044000000	44.000000	N20000000	20.000000	E043000000	43.000000	N20000000	20.000000	E044000000	44.000000	199907	0565020
056521	07700	N21000000	21.000000	E044000000	44.000000	N21000000	21.000000	E045000000	45.000000	N20000000	20.000000	E044000000	44.000000	N20000000	20.000000	E045000000	45.000000	199907	0565021
056522	06400	N21000000	21.000000	E045000000	45.000000	N21000000	21.000000	E046000000	46.000000	N20000000	20.000000	E045000000	45.000000	N20000000	20.000000	E046000000	46.000000	199907	0565022
056523	06200	N21000000	21.000000	E046000000	46.000000	N21000000	21.000000	E047000000	47.000000	N20000000	20.000000	E046000000	46.000000	N20000000	20.000000	E047000000	47.000000	199907	0565023
056524	05100	N21000000	21.000000	E047000000	47.000000	N21000000	21.000000	E048000000	48.000000	N20000000	20.000000	E047000000	47.000000	N20000000	20.000000	E048000000	48.000000	199907	0565024
056601	04300	N24000000	24.000000	E036000000	36.000000	N24000000	24.000000	E037000000	37.000000	N23000000	23.000000	E036000000	36.000000	N23000000	23.000000	E037000000	37.000000	199907	0566001
056602	03800	N24000000	24.000000	E037000000	37.000000	N24000000	24.000000	E038000000	38.000000	N23000000	23.000000	E037000000	37.000000	N23000000	23.000000	E038000000	38.000000	199907	0566002
056603	08300	N24000000	24.000000	E038000000	38.000000	N24000000	24.000000	E039000000	39.000000	N23000000	23.000000	E038000000	38.000000	N23000000	23.000000	E039000000	39.000000	199907	0566003
056604	11400	N24000000	24.000000	E039000000	39.000000	N24000000	24.000000	E040000000	40.000000	N23000000	23.000000	E039000000	39.000000	N23000000	23.000000	E040000000	40.000000	199907	0566004
056605	09100	N24000000	24.000000	E040000000	40.000000	N24000000	24.000000	E041000000	41.000000	N23000000	23.000000	E040000000	40.000000	N23000000	23.000000	E041000000	41.000000	199907	0566005
