ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056921	10000	N21000000	21.000000	E020000000	20.000000	N21000000	21.000000	E021000000	21.000000	N20000000	20.000000	E020000000	20.000000	N20000000	20.000000	E021000000	21.000000	199907	0569021
056922	10000	N21000000	21.000000	E021000000	21.000000	N21000000	21.000000	E022000000	22.000000	N20000000	20.000000	E021000000	21.000000	N20000000	20.000000	E022000000	22.000000	199907	0569022
056923	10000	N21000000	21.000000	E022000000	22.000000	N21000000	21.000000	E023000000	23.000000	N20000000	20.000000	E022000000	22.000000	N20000000	20.000000	E023000000	23.000000	199907	0569023
056924	10000	N21000000	21.000000	E023000000	23.000000	N21000000	21.000000	E024000000	24.000000	N20000000	20.000000	E023000000	23.000000	N20000000	20.000000	E024000000	24.000000	199907	0569024
057001	08400	N24000000	24.000000	E012000000	12.000000	N24000000	24.000000	E013000000	13.000000	N23000000	23.000000	E012000000	12.000000	N23000000	23.000000	E013000000	13.000000	199907	0570001
057002	08400	N24000000	24.000000	E013000000	13.000000	N24000000	24.000000	E014000000	14.000000	N23000000	23.000000	E013000000	13.000000	N23000000	23.000000	E014000000	14.000000	199907	0570002
057003	08400	N24000000	24.000000	E014000000	14.000000	N24000000	24.000000	E015000000	15.000000	N23000000	23.000000	E014000000	14.000000	N23000000	23.000000	E015000000	15.000000	199907	0570003
057004	08400	N24000000	24.000000	E015000000	15.000000	N24000000	24.000000	E016000000	16.000000	N23000000	23.000000	E015000000	15.000000	N23000000	23.000000	E016000000	16.000000	199907	0570004
057005	08400	N24000000	24.000000	E016000000	16.000000	N24000000	24.000000	E017000000	17.000000	N23000000	23.000000	E016000000	16.000000	N23000000	23.000000	E017000000	17.000000	199907	0570005
057006	08400	N24000000	24.000000	E017000000	17.000000	N24000000	24.000000	E018000000	18.000000	N23000000	23.000000	E017000000	17.000000	N23000000	23.000000	E018000000	18.000000	199907	0570006
057007	08400	N23000000	23.000000	E012000000	12.000000	N23000000	23.000000	E013000000	13.000000	N22000000	22.000000	E012000000	12.000000	N22000000	22.000000	E013000000	13.000000	199907	0570007
057008	08400	N23000000	23.000000	E013000000	13.000000	N23000000	23.000000	E014000000	14.000000	N22000000	22.000000	E013000000	13.000000	N22000000	22.000000	E014000000	14.000000	199907	0570008
057009	08400	N23000000	23.000000	E014000000	14.000000	N23000000	23.000000	E015000000	15.000000	N22000000	22.000000	E014000000	14.000000	N22000000	22.000000	E015000000	15.000000	199907	0570009
057010	08400	N23000000	23.000000	E015000000	15.000000	N23000000	23.000000	E016000000	16.000000	N22000000	22.000000	E015000000	15.000000	N22000000	22.000000	E016000000	16.000000	199907	0570010
