ARF_IDENT	DIRECTION	SEG_NBR	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
CAROL	E	00020	EHEH	H		N53320000	53.533333	E006010000	6.016667	N53280000	53.466667	E003570000	3.950000													200010
CAROL	E	00030	EHEH	H		N53280000	53.466667	E003570000	3.950000	N53130000	53.216667	E003580000	3.966667													200010
CAROL	E	00040	EHEH	H		N53130000	53.216667	E003580000	3.966667	N53130000	53.216667	E006010000	6.016667													200010
CAROL	W	00010	EHEH	H		N53130000	53.216667	E006010000	6.016667	N53320000	53.533333	E006010000	6.016667													200010
CAROL	W	00020	EHEH	H		N53320000	53.533333	E006010000	6.016667	N53280000	53.466667	E003570000	3.950000													200010
CAROL	W	00030	EHEH	H		N53280000	53.466667	E003570000	3.950000	N53130000	53.216667	E003580000	3.966667													200010
CAROL	W	00040	EHEH	H		N53130000	53.216667	E003580000	3.966667	N53130000	53.216667	E006010000	6.016667													200010
CRETE		00010	LGGG	B		N37060000	37.100000	E019000000	19.000000	N34000000	34.000000	E025280000	25.466667													200010
CRETE		00020	LGGG	B		N34000000	34.000000	E025280000	25.466667	N34000000	34.000000	E024460000	24.766667													200010
CRETE		00030	LGGG	B		N34000000	34.000000	E024460000	24.766667	N36440000	36.733333	E019000000	19.000000													200010
CRETE		00040	LGGG	B		N36440000	36.733333	E019000000	19.000000	N37060000	37.100000	E019000000	19.000000													200010
DELTA		00010	LIRR	H		N37140600	37.235000	E014545900	14.916389	N37332400	37.556667	E015013300	15.025833													200013
DELTA		00020	LIRR	H		N37332400	37.556667	E015013300	15.025833	N37090000	37.150000	E017470000	17.783333													200013
DELTA		00030	LIRR	H		N37090000	37.150000	E017470000	17.783333	N37080000	37.133333	E019000000	19.000000													200013
DELTA		00040	LIRR	H		N37080000	37.133333	E019000000	19.000000	N36360000	36.600000	E019000000	19.000000													200013
DELTA		00050	LIRR	H		N36360000	36.600000	E019000000	19.000000	N37140600	37.235000	E014545900	14.916389													200013
ILL		00010	LIRR	H		N38224160	38.378222	E010514166	10.861572	N37204386	37.345517	E012260858	12.435717													200211
ILL		00020	LIRR	H		N37204386	37.345517	E012260858	12.435717	N36485834	36.816206	E015364364	15.612122													200211
ILL		00030	LIRR	H		N36485834	36.816206	E015364364	15.612122	N36510053	36.850147	E019001440	19.004000													200211
ILL		00040	LIRR	H		N36510053	36.850147	E019001440	19.004000	N36410018	36.683383	E018594566	18.996017													200211
ILL		00050	LIRR	H		N36410018	36.683383	E018594566	18.996017	N36390165	36.650458	E015351645	15.587903													200211
ILL		00060	LIRR	H		N36390165	36.650458	E015351645	15.587903	N37110411	37.184475	E012225164	12.381011													200211
ILL		00070	LIRR	H		N37110411	37.184475	E012225164	12.381011	N38145426	38.248406	E010434277	10.728547													200211
ILL		00080	LIRR	H		N38145426	38.248406	E010434277	10.728547	N38224160	38.378222	E010514166	10.861572													200211
KARPATHOS		00010	LGGG	B		N34380000	34.633333	E024140000	24.233333	N35080000	35.133333	E030000000	30.000000													200010
KARPATHOS		00020	LGGG	B		N35080000	35.133333	E030000000	30.000000	N34480000	34.800000	E030000000	30.000000													200010
KARPATHOS		00030	LGGG	B		N34480000	34.800000	E030000000	30.000000	N34220000	34.366667	E024460000	24.766667													200010
KARPATHOS		00040	LGGG	B		N34220000	34.366667	E024460000	24.766667	N34380000	34.633333	E024140000	24.233333													200010
POLLY	E	00010	EHEH	H		N52560000	52.933333	E004490000	4.816667	N53170000	53.283333	E005570000	5.950000													200010
POLLY	E	00020	EHEH	H		N53170000	53.283333	E005570000	5.950000	N53310000	53.516667	E005350000	5.583333													200010
POLLY	E	00030	EHEH	H		N53310000	53.516667	E005350000	5.583333	N53100000	53.166667	E004370000	4.616667													200010
POLLY	E	00040	EHEH	H		N53100000	53.166667	E004370000	4.616667	N52560000	52.933333	E004490000	4.816667													200010
POLLY	W	00010	EHEH	H		N52560000	52.933333	E004490000	4.816667	N53170000	53.283333	E005570000	5.950000													200010
POLLY	W	00020	EHEH	H		N53170000	53.283333	E005570000	5.950000	N53310000	53.516667	E005350000	5.583333													200010
POLLY	W	00030	EHEH	H		N53310000	53.516667	E005350000	5.583333	N53100000	53.166667	E004370000	4.616667													200010
POLLY	W	00040	EHEH	H		N53100000	53.166667	E004370000	4.616667	N52560000	52.933333	E004490000	4.816667													200010
