ARF_IDENT	DIRECTION	PT_SEQ_NBR	ICAO	USAGE	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AR101	N	10	KZME	IP		HRV	2	US	1	282	043	N30000000	30.000000	W090500000	-90.833333	199801
AR101	N	20	KZME	CP		MCB	2	US	1	251	028	N31100000	31.166667	W090460000	-90.766667	199801
AR101	N	50	KZME	EX		MEM	2	US	1	337	064	N36000000	36.000000	W090300000	-90.500000	199811
AR101	S	10	KZME	IP		MEM	2	US	1	337	064	N36000000	36.000000	W090300000	-90.500000	200006
AR101	S	20	KZME	CP		SQS	2	US	1	330	036	N34000000	34.000000	W090360000	-90.600000	200203
AR101	S	60	KZME	EX		HRV	2	US	1	282	043	N30000000	30.000000	W090500000	-90.833333	200203
AR102A	E	10	KZFW	IP		ABI	2	US	1	045	016	N32380000	32.633333	W099370000	-99.616667	199710
AR102A	E	20	KZFW	CP		MQP	2	US	1	106	020	N32350000	32.583332	W097380000	-97.633333	200009
AR102A	E	30	KZFW	NC		ACT	2	US	1	035	076	N32340000	32.566666	W096134200	-96.228333	199511
AR102A	E	40	KZFW	NC		TXK	2	US	1	199	070	N32274200	32.461666	W094400000	-94.666667	200009
AR102A	E	50	KZFW	EX		EIC	2	US	1	120	035	N32250000	32.416668	W093160000	-93.266667	199710
AR102B		10	KZFW	IP		LBB	2	US	1	232	070	N33110000	33.183334	W103090000	-103.150000	199906
AR102B		20	KZFW	CP		LBB	2	US	1	148	048	N32570000	32.950001	W101350000	-101.583333	199906
AR102B		30	KZFW	NC		ABI	2	US	1	045	016	N32380000	32.633333	W099370000	-99.616667	199710
AR102B		40	KZFW	NC		MQP	2	US	1	106	020	N32350000	32.583332	W097380000	-97.633333	200009
AR102B		50	KZFW	NC		ACT	2	US	1	035	076	N32340000	32.566666	W096134200	-96.228333	199511
AR102B		60	KZFW	NC		TXK	2	US	1	199	070	N32274200	32.461666	W094400000	-94.666667	200009
AR102B		70	KZFW	EX		EIC	2	US	1	120	035	N32250000	32.416668	W093160000	-93.266667	199710
AR103		10	KZHU	IP		MCB	2	US	1	302	038	N31420000	31.700001	W090520000	-90.866667	199710
AR103		20	KZHU	CP		HRV	2	US	1	318	013	N30014800	30.030001	W090102000	-90.172222	199710
AR103		30	KZHU	NC								N29090000	29.150000	W089410000	-89.683334	199511
AR103		40	KZHU	NC								N27300000	27.500000	W088430000	-88.716667	199511
AR103		50	KZHU	NC								N25320000	25.533333	W087370000	-87.616667	199710
AR103		60	KZHU	EX								N24200000	24.333334	W087050000	-87.083333	199710
AR104	E	10	KZFW	IP		INK	2	US	1	189	028	N31260000	31.433333	W103260000	-103.433333	199901
AR104	E	20	KZFW	CP		ABI	2	US	1	225	100	N31310000	31.516666	W101260000	-101.433333	200009
AR104	E	30	KZFW	NC		ABI	2	US	1	150	046	N31460000	31.766666	W099320000	-99.533333	199511
AR104	E	40	KZFW	EX		ACT	2	US	1	322	023	N32000000	32.000000	W097300000	-97.500000	199511
AR104	W	10	KZFW	IP		ACT	2	US	1	322	023	N32000000	32.000000	W097300000	-97.500000	199511
AR104	W	20	KZFW	CP		ABI	2	US	1	150	046	N31460000	31.766666	W099320000	-99.533333	199511
AR104	W	30	KZFW	NC		ABI	2	US	1	225	100	N31310000	31.516666	W101260000	-101.433333	200009
AR104	W	40	KZFW	EX		INK	2	US	1	189	028	N31260000	31.433333	W103260000	-103.433333	199901
AR104M		10	KZFW	IP		EIC	2	US	1	270	031	N32500000	32.833332	W094250000	-94.416667	200009
AR104M		20	KZFW	CP		TTT	4	US	1	092	062	N32430600	32.718333	W095500000	-95.833333	199904
AR104M		30	KZFW	NC		ACT	2	US	1	322	023	N32000000	32.000000	W097300000	-97.500000	199511
AR104M		40	KZFW	NC		ABI	2	US	1	150	046	N31460000	31.766666	W099320000	-99.533333	199511
AR104M		50	KZFW	NC		ABI	2	US	1	225	100	N31310000	31.516666	W101260000	-101.433333	200009
AR104M		60	KZFW	EX		INK	2	US	1	189	028	N31260000	31.433333	W103260000	-103.433333	200009
