JASU_CODE	TYPE	DESCRIPTION
MA2	MA-2	250 Air HP, 115 lb/min 65 psia
MA2M	MA-2 MPSU	30 kva AC 115/200v 3 phase 400hz AIR 110 lb/min @25 psi and 28v 500/1000amp DC
MA3M	MA-3MPSU	AIR: 150lb/min, 13.5cfm, 60 psia AC: 120/208v, 400 cycle, 3 phase, 60kva DC:28v, 1000 amp, 30kw
MB1	MB-1	500 cu in cap, 3500 psig, 15cfm
MB9	MB-9	4.01 cu ft cap (6930 cu in cap), 5cfm
MC1	MC-1	15cfm, 3500psia
MC11	MC-11	8,000 cu in cap, 4000psig, 15cfm
MC1A	MC-1A	AC:115/208v,400 cycle, 3 phase, 37.5kva,0.8pf, 108 amp, 4 wire DC: 28v, 500 amp, 14kw
MC1M	MC-1(Modified)	5,000 cu in cap, 3500 psia, 15 cfm
MC2A	MC-2A	15 cfm, 200 psia
MD1	MD-1	AC:120/208v, 400 cycle, 3 phase, 6.25kva, 0.8pf
MD2	MD-2	AC:120/208v, 400 cycle, 3 phase, 10kva, 0.8pf
MD3	MD-3	AC:115/208v, 400 cycle, 3 phase, 60 kva, 0.75 pf, 4 wire DC:28v, 1500 amp, 45 kw, split bus
MD3A	MD-3A	AC:115/208v, 400 cycle, 3 phase, 60 kva, 0.75 pf, 4 wire DC:28v, 1500 amp, 45 kw, split bus
MD3B	MD-3B	AC:115/208v, 400 cycle, 3 phase, 60 kva, 4 wire DC:28v, 500 amp
MD3M	MD-3M	AC:115/208v, 400 cycle, 3 phase, 60 kva, 0.75 pf, 4 wire DC:28v, 500 amp, 15 kw
MD4	MD-4	AC:120/208v, 400 cycle, 3 phase, 62.5kva, 0.8pf, 175 amp, "WYE" neutral ground, 4 wire, 120v 400 cycle, 3 phase, 62.5kva, 0.8pf, 303 amp, "DELTA" 3 wire, 120v, 400 cycle, 1 pase, 62.5 kva, 0.8pf, 520 amp, 2 wire
MEP	MEP-116A	AC:115/208v and 240/446v, 400 cycle, 3 phase, 100kw, 0.8pf
MJ1	MJ-1	3000-5000 psi, 30 GPM Flow, 110 HP
MMG1	MMG-1/1A	DC: 500 amp constant, 1000 amp intermittent, 28v AC: 60kva@0.8 pf, 115/200v 3 phase 400hz Input(AC):220/400v, 3 phase, 60 hz
MMG2	MMG-2	DC: 500 amp constant, 28v AC: 30kva @0.8pf 115/200v, 3 pahse, 400hz Input(AC):220/400v, 3 phase, 60 hz
MXU1	MXU-129A	USAF
MXU4	MXU-4A	USAF
NC10	NC-10A/A1/B/C	DC: 750 amp constant, 1000 amp intermittent, 28v AC: 90kva, 115/200v, 3 phase, 400hz
NC2A	NC-2A	DC: 500 amp constant, 28v AC: 30kva ,115/200v, 3 pahse, 400hz
NC8A	NC-8A/A1	DC: 500 amp constant, 750 amp intermittent, 28v AC: 60kva@0.8pf, 115/200v, 3 phase, 400hz
NCPP	NCPP-105/RCPT	180 lbs/min@75psi or 120lbs/min@ 45psi 700 amp, 28vDC, 120/208v, 400hz AC, 30kva
PE75	PE-75	AC 120v 22 amp
