OPR_CODE	TYPE	DESCRIPTION	
JG	JGSDF	JAPAN GROUND SELF DEFENSE FORCE	
JM	JCG	JAPAN COAST GUARD	
JN	JMSDF	JAPAN MARITIME SELF DEFENSE FORCE	
JO	JOAF	JORDANIAN AIR FORCE	
JU	JUSMAG	JOINT U.S.MILITARY ADVISORY GROUP	
KA	NKPA	NORTH KOREAN PEOPLES ARMY	
KD	DPRK	DEMOCRATIC PEOPLES REPUBLIC OF KOREA	
KF	NKAF	NORTH KOREAN AIR FORCE	
KM	KMOCT	KOREAN MINISTRY OF CONSTRUCTION AND TRANSPORTATION	
KZ	KZAF	KAZAKHSTAN AIR FORCE	
LD	LDCA	LAOS DEPT OF CIVIL AVIATION	
MB	MAB	MALAYSIA AIRPORTS BERHAD	
MC	MC	MARINE CORPS	
MD	MDCA	MALAYSIA DEPT OF CIVIL AVIATION	
MI	MIL	MILITARY	
ML	MIL/CIV	MILITARY - CIVIL JOINT USE AIRPORT	
MO	MOD(PE)	MINISTRY OF DEFENSE (PROCUREMENT EXECUTIVE) UK	
MS	MCAA	MONGOLIA CIVIL AVIATION AUTHORITY
MR	MRMP	MAGAT RIVER MULI-PURPOSE PROJECT, FED GOVT REP OF THE PHILIPPINES	
MT	MOTCGU	MINISTRY OF TRANSPORT, COMMUNICATIONS AND GOVT UTILITIES	
MU	MUNI	MUNICIPAL	
NA	N	NAVY	
NB	NADEP	NAVAL AIR DEPOT	
NC	NAS	NAVAL AIR STATION	
ND	NAF	NAVAL AIR FACILITY	
NE	NS	NAVAL STATION	
NF	NTC	NAVAL TRAINING COMMAND	
NL	NAA	NATIONAL AIRPORTS AUTHORITY (INDIA)	
NM	NASA	NATIONAL AIR AND SPACE ADMINISTRATION	
NN	NPDGCA	NEPAL DIRECTOR CIVIL AVIATION	
NO	NCDCA	NEW CALEDONIA DEPT OF CIVIL AVIATION	
NP	NZCAA	NEW ZEALAND CIVIL AVIATION AUTHORITY	
NR	NATO	NORTH ATLANTIC TREATY ORGANIZATION	
NS	ARNG	U.S.ARMY NATIONAL GUARD	
NT	NSF	U.S.NATIONAL SCIENCE FOUNDATION	
PA	P	U.S.CIVIL AIRPORT WHEREIN PERMIT COVERS USE BY TRANSIT MILITARY AIRCRAFT	
PB	PAF	PORTUGUESE AIR FORCE	
PC	PNY	PORTUGUESE NAVY	
PD	POAR	PORTUGUESE ARMY	
PG	PNGOCA	PAPUA NEW GUINEA OFFICE OF CIVIL AVIATION	
PH	POAF	POLISH AIR FORCE	
PI	PIA	PAKISTAN INTL AIRLINES	
PJ	PKAF	PAKISTAN AIR FORCE	
PK	PKAR	PAKISTAN ARMY	
PL	PAL	PHILIPPINE AIRLINES	
PM	PATO	PHILIPPINE AIR TRANSPORTATION OFFICE	
PN	PHAF	PHILIPPINE AIR FORCE	
PO	PHAR	PHILIPPINE ARMY	
PP	PHCG	PHILIPPINE COAST GUARD	
PQ	PHN	PHILIPPINE NAVY	
PR	PRAND	PUERTO RICO AIR NATIONAL GUARD	
PS	PMRF	PACIFIC MISSILE RANGE FACILITY	
PT	PTAPI	(PERSERO) ANGKASA PURA I	
PU	PTAPII	(PERSERO) ANGKASA PURA II	
PV	PVT	PRIVATE	
RA	RAF	ROYAL AIR FORCE UK	
RB	RAFO	ROYAL AIR FORCE OMAN	
RC	RDAF	ROYAL DANISH AIR FORCE	
RD	RDNY	ROYAL DANISH NAVY	
RE	RMAF	ROYAL MOROCCAN AIR FORCE	
RF	RN	ROYAL NAVY	
RG	RNLAF	ROYAL NETHERLANDS AIR FORCE	
RH	RNN	ROYAL NETHERLANDS NAVY	
RI	RNOAF	ROYAL NORWEGIAN AIR FORCE	
RJ	RNON	ROYAL NORWEGIAN NAVY	
RK	RSAF	ROYAL SAUDI ARABIAN AIR FORCE	
RL	RAAF	ROYAL AUSTRALIAN AIR FORCE	
RM	RAN	ROYAL AUSTRALIAN NAVY	
RN	RAR	ROYAL ARMY (BRITISH)	
RO	RATF	ROYAL AUSTRALIAN TASK FORCE	
RP	RMAF	ROYAL MALAYSIAN AIR FORCE	
RQ	RNZAF	ROYAL NEW ZEALAND AIR FORCE	
RR	RNZN	ROYAL NEW ZEALAND NAVY	
RS	ROKA	REPUBLIC OF KOREA ARMY	
RT	ROKAF	REPUBLIC OF KOREA AIR FORCE	
RU	ROKMC	REPUBLIC OF KOREA MARINE CORPS	
RV	ROKN	REPUBLIC OF KOREA NAVY	
RW	RSAF	REPUBLIC OF SINGAPORE AIR FORCE	
RX	RTA	ROYAL THAI ARMY	
RY	RTAF	ROYAL THAI AIR FORCE	
RZ	RTN	ROYAL THAI NAVY	
SA	SAAF	SOUTH AFRICA AIR FORCE	
SD	SDI	SAUDI MISSILE TEST CENTER	
SE	SENEAM	SERVICE TO NAVIGATION IN THE MEXICAN AIRSPACE	
SF	SAF	SPANISH AIR FORCE	
SH	SAHSA	AIR SERVICE OF HONDURAS INC	
SL	SLAF	SRI LANKA AIR FORCE	
SM	SAMTEC	SPACE AND MISSILE TEST CENTER	
SN	SNY	SPANISH NAVY	
SP	SAF	SINGAPORE ARMED FORCES	
SR	SRAF	SLOVAK REPUBLIC AIR FORCE	
SS	SSCA	CAMBODIA STATE SECRETARIAT OF CIVIL AVIATION	
SW	SWAF	SWEDISH AIR FORCE	
SX	SWA	SWEDISH ARMY	
TA	TACA	CENTRAL AMERICA AIR TRANSPORT	
TC	TC	TRANSPORT CANADA	
TD	TDCA	DEPT OF CIVIL AVIATION THAILAND	
TM	TAM	MILITARY AIR TRANSPORT PARAGUAY	
TR	TUAR	TURKISH ARMY	
TU	TUAF	TURKISH AIR FORCE	
UF	USFS	U.S.FOREST SERVICE	
UK	UKAR	BRITISH ARMY UK	
UN	NULL	UNKNOWN	
UR	URAF	UKRAINIAN REPUBLIC AIR FORCE	
US	USBER	U.S.MISSION BERLIN	
XX	NULL	NO CLASSIFICATION-INDICATES THE AIRPORT IS OPEN TO THE GENERAL PUBLIC.  FOR MILITARY USE, ARRANGEMENTS MUST BE MADE WITH THE AIRPORT MANAGER	

